Aspect,Model,Accuracy,Macro F1-Score
FOOD,Gemini 1.5 Flash,0.88,0.714024864024864
FOOD,ChatGPT (4o-mini),0.8,0.561295351473923
FOOD,Claude 4.5 Haiku,0.85,0.7043650793650794
SERVICE,Gemini 1.5 Flash,0.89,0.6513204474653073
SERVICE,ChatGPT (4o-mini),0.62,0.47633751306165106
SERVICE,Claude 4.5 Haiku,0.88,0.8342105263157895
ATMOS,Gemini 1.5 Flash,0.88,0.769855144855145
ATMOS,ChatGPT (4o-mini),0.64,0.5308133755785419
ATMOS,Claude 4.5 Haiku,0.82,0.7645064354855867
PRICE,Gemini 1.5 Flash,0.95,0.6693943655968972
PRICE,ChatGPT (4o-mini),0.9,0.599480688088283
PRICE,Claude 4.5 Haiku,0.94,0.7741810737033668
