Contribution_Number,Rating_Overall,Topic,Date_Visit,Visit_Type,Detail,Aspect_Value,Aspect_Service,Aspect_Food,Aspect_Atmosphere,Date_Written
2,3,"Not worth a visit, overpriced and poor quality",ม.ค.-26,,"Over-rated. Pork was too tough. In my opinion, its over-priced and food quality so-so only. Was better during my 1st visit last year in 2025. Will not go aagin.",2,3,2,3,"January 10, 2026"
1,3,Average,ม.ค.-26,,"What can I say? Had high hopes. Just landed at Chiangmai airport and before we went to visit the family , we wanted some good food. The wife searched up and found this place. We ordered the Khao soi Talay , satay Kai , satay nua and the wife ordered some other noodle dish. Have to say. Not very impressed. The beef was a bit tough , chicken not fresh . We sent some back. The seafood khao soi was okay. But not great. Wife not impressed with her meal either. To be honest I would probably never go there again. I’ll stick to the little mum and dad places for Khao soi and satay.",1,2,2,3,"January 7, 2026"
118,4,Tasty but not fantastic,ธ.ค.-25,,"Good, really, but to queue for o get in, pay so much more than the usual ”catch” and then get a meal that is no better than a 65 baths meal (o there are plenty of fantastic cheap ”catch”) so I think this is worth a visit absolutely but you should bear in mind that it is over prized. Have eaten so many at least as good and sometimes better for so much less money.",,,,,"December 5, 2025"
1,2,I always be here when I have a chance to visit Changmai the quality of the food is poor than before. Not good,ธ.ค.-25,,"The quality of the food is poor then they used to be The teste of the food not delicious like they used to be, but they so it is still nice",,,,,"December 1, 2025"
19,3,Just okay,พ.ย.-25,,"This spot had a cool atmosphere, but that staff was not very friendly. Food was fine, but not the best we have had on this trip.",2,3,3,5,"November 25, 2025"
74,4,Taste & Experience Notes,พ.ย.-25,,"Khao Soi Super Bowl: A really good meal. The creamy portion of curry juice and the tissue contrast left by the crispy noodle oil created a perfect balance. Especially the aroma of the broth—heavy but not heavy, layered. What was most surprised was the aroma of lemongrass and limestone in Sai Ua. The spice is strong yet clean, but also greases the curry juice and creates a sweet-spicy balance. The octopus and shrimp were unexpected but delightful details; the salty shrimp of seafood keeps the curry lively. Pairing with Chang’s beer was perfect—every sip refreshed the intensity of the curry. Read less",5,5,5,5,"November 11, 2025"
1066,5,Worthy Kao Soi,พ.ย.-25,,"I had the chicken Kao Soi and spring rolls. My wife had egg Kao Soi. We enjoyed everything. While we do have a favorite Kao Soi restaurant, this was still excellent. The service was efficient. They have a lively atmosphere. Definitely an enjoyable time.",5,4,5,5,"November 8, 2025"
22,5,Kao Soy was unreal!,เม.ย.-25,,Was first time having the famous Kao Soy; amazing! 1000 baht total for a family of 4 at a high standard restaurant is great value.,,,,,"April 20, 2025"
29,3,Overrated,ก.พ.-25,,"So, we read the reviews and hype about the best khao soi in chiang mai....well, reality is. The waiter's are at best indifferent, no smiles no welcome....we're busy, just sit down feeling. Menu comes, ordering a shared starter, main beef khan soi and steamed vegetables.....within a minute the khao soi arrives....NO starter, vegetables arrived, no starter....asked for starter, it came second and it was all on the table at once, no refinement here. The biggest issue is the bowl of beef noodles everyone raves about was 50% beef fat, the rest, waifer thin overcooked beef...sauce was tasty. Chicken satay was nice, veg nothing special. Overall, totally overrated and we left disappointed....look for better elsewhere. Read less",,,,,"February 26, 2025"
44,4,Excellent Kao Soy,ก.พ.-25,,"This restaurant was recommended by some friends , there was a wait for 15 mins to get it . We ordered the Beef Kao soy , eggplant salad , chicken satay . I personally loved the beef Kao soy and the egg plant salad . Highly recommend for a meal while in Changmai .",,,,,"February 14, 2025"
82,5,Delicious Beef Khao Soi,ม.ค.-25,,Delicious Beef Khao Soi and Chicken Satay. We didn’t have to wait for so long. The service was great. They take credit cards. We would go back 100%.,,,,,"January 17, 2025"
9,5,Flavorful bowl of khao soi in Nimman,ธ.ค.-24,,"There are a plethora of places to try kao soy in Chiang Mai, but we really loved Kao Soy Nimman the most, especially their beef kao soy. The beef is braised deliciously and super tender. The soup is a little on the soupier side, as opposed to creamy, but extremely flavorful - really enjoyed the combination of everything here. It gets crowded during peak hours, but the food comes out fast, so turnover of tables is pretty fast. Definitely give this spot a try if you're in the downtown /Nimman area.",5,5,5,5,"January 4, 2025"
256,5,DELICIOUS!,ต.ค.-24,,"We were staying at Hotel Amber just down the street and called in here for a quick meal, so glad we did because we came back time and time again. Delicious food at great prices! Do yourself a favour and come in for a bite, you will not be disappointed! Best food in the area and I've been craving it ever since!",4,4,5,5,"December 6, 2024"
318,5,Must do. Genuinely though... must do!,ต.ค.-24,,"Dragged her by my addict wife... second time. Both have been... amazing! It is simple, cheap and utterly delicious food. Nimman itself is ultra 'in' right now so expect to see rows of coffee shops next door to each other but Khaosoi Nimman stands out as a venue. Might have to queue as it is 'on the map' but do it... delicious. One query... it shows as $$ on Tripadvisor but it really isn't. A slight increase over standard Thai noodle prices but amazing taste and quality for, literally, pennies. Read less",,,,,"October 29, 2024"
113,5,Try the crab kao soy,มิ.ย.-24,,You can find kao soy all over Chiang Mai. What makes Kao Soy Nimman stand out is their soft shell crab kao soy! It is an absolute must!,,,,,"July 31, 2024"
17,3,Good restaurant with faults...,มิ.ย.-24,Couples,"I stayed here last October twice on their terrace, and loved the food and found it good value for money. I came back now a week ago and for the mosquitoes we sat inside the restaurant. They had neither beer nor wine, we ordered water, wine at about 40 degrees temperature, nor did they have ice. The Kao Soy was good, but the regular atmosphere. A disappointment this time.",5,4,5,3,"July 3, 2024"
45,5,Fantastic food,มิ.ย.-24,Couples,Magnificent food. Good service and the beef and the chicken Kao soy excellent. Very happy. Fast efficient and delicious,,,,,"June 21, 2024"
24,5,Best kao soy!,พ.ค.-24,Family,Incredible khao soy! We had the pleasure of ordering beed and pork khao soy and the beef one was incredible! Service is super fast and efficient! Unlike a previous review; we simply arrived at a reasonable hour (instead of 4 minutes before closing) and we had great service and great food. This place is a must if you want to have a proper khao soy,,,,,"May 12, 2024"
140,5,Kao soy noodles,พ.ค.-24,Couples,Off the hook good.. food at this price that is this good should be illegal.. you can see why they are in the Michelin guide.,,,,,"May 5, 2024"
15,2,be cautious if you have dietary redirections/allergies,ก.พ.-24,Couples,"I wouldn’t recommend if you have dietary restrictions. I informed the server about my seafood allergy and that I was vegetarian and he redirected what I wanted to something else as he let me know that the first option contained chicken broth. Which was totally fine and appreciated. When the food was brought out, they brought me the first option anyway (the one with chicken broth) and I didn’t notice it until I was quite a few bites in. I informed them that the wrong dish was brought out and then they let me know they accidentally made the dish I intended to order with pork and were currently remaking it. When the check came out, we were charged for the dish containing chicken that I did not order. I tried to communicate the situation but ultimately they made us pay for it because “I tasted it” even though I tasted something that may make my stomach sick later since I haven’t had meat in 14 years. It was just an overall frustrating situation. I would make sure everything is communicated very clearly if you choose to eat here with any restrictions. I’m just lucky that the dish they first brought out didn’t contain anything I’m allergic to. Read less",,,,,"February 27, 2024"
41,3,"Decent meal, undue hype",ธ.ค.-23,Family,"This place is really famous, possibly because of a Michelin recommendation. The Khao Soy is what everybody queues up for. It was good, but certainly not exceptional. If you are lucky and there isnt a queue, no harm having a bowl. But please dont bother waiting for a table.",,,,,"December 30, 2023"
31,5,Life according to reviews,ก.ย.-23,Family,What kind of food was every dish you ordered? I'm impressed that the staff cares about children. Free fried rice is served to children in large portions. Daughter eats deliciously I especially like the omelet with mushroom chili paste. The khao soi is also very good.,,,,,"September 7, 2023"
63,5,A hug in a bowl! The memorable kind,ส.ค.-23,Solo,"I chanced upon this place by fluke, and was a tad deterred by the unending line outside it. Then again, long lines are more often than not proof of a promising meal so I gave my name & tapped my toes impatiently while the staff gave me indulging ‘we assure you, it is worth it’ smiles. The food is exquisite & wholesome, all at once. I opted for the Khao Soi Beef, the eggplant salad, the chicken satay, the passion fruit juice & the iced dessert (As you can tell by now, I have an impressive appetite & fortunately for me an equally robust metabolism). The Khao Soi Beef was hearty & full of flavour, not to mention a sizeable portion in itself. I’d eat it thrice a day, every day, if I could. The chicken satay was good but was exceptional about it was the accompanying dip. That dip was the stuff of legends & I do so wish that they would retail it in bottles, for us to take back with us. The eggplant salad was spicy with a kick & a heart topping of fried garlic, accompanied by 2 soft boiled eggs. I have never known as surprising yet delightful a pairing as that! The fresh passion fruit juice turned out to be an excellent decision while in retrospect, I could have avoided having the dessert. Not because it wasn’t good but rather I was quite full by them. I happen to however be greedy too so my body is quite adept at making space even when bursting at the seams :) I highly highly highly recommend a visit to this restaurant. Your stomach’s heart will be full, I promise Read less",,,,,"August 13, 2023"
